date	description	amount	type	pending											
2012-07-19	MA-GOOD THAI/12-07-17	-75													
2012-07-18	COOP KONSUM /12-07-16	-159													
2012-07-17	ICHA ICHA   /12-07-16	-89													
2012-07-16	DINNERS REST/12-07-15	-79													
2012-07-16	FAC FLYGBUSS/12-07-13	-79													
2012-07-16	ROYAL SUSHI /12-07-13	-75													
2012-07-16	COOP KONSUM /12-07-12	-58													
2012-07-13	KAFFEMAKARN /12-07-12	-89													
2012-07-13	BOQUERIA    /12-07-11	-190													
2012-07-12	176400001 AP/12-07-11	-40													
2012-07-12	COOP KONSUM /12-07-10	-113													
2012-07-11	HAR 3000 HOT/12-07-10	-474													
2012-07-11	KAFFEMAKARN /12-07-10	-89													
2012-07-10	HELSINGBORGS/12-06-28	-10													
2012-07-10	KULLAFLYG AB/12-07-09	-1466													
2012-07-10	7-ELEVEN 151/12-07-09	-15													
2012-07-10	KAFFEMAKARN /12-07-09	-89													
2012-07-09	ZINK GRILL  /12-07-07	-800													
2012-07-09	HAPPY       /12-07-07	-145													
2012-07-09	TAXI STOCKHO/12-07-08	-165													
2012-07-09	MCDONALD S H/12-07-08	-30													
2012-07-09	MCDONALD S M/12-07-06	-67													
2012-07-09	COOP KONSUM /12-07-07	-43													
2012-07-09	VL	-700													
2012-07-09	VIKTOR LINDE	4000													
2012-07-09	SCANDIC HOTE/12-07-06	-332													
2012-07-09	GRONA LUND  /12-07-07	-120													
2012-07-09	HUGO BOSS BU/12-07-07	-1149													
2012-07-09	TOREKOV HOTE/12-07-05	-100													
2012-07-09	KOH PHANGAN /12-07-06	-350													
2012-07-09	VIKTOR LINDE	1000													
2012-07-06	SILLEN OCH M/12-07-04	-171													
2012-07-06	FELPARKERINGSAVGIFT TRAN	-300													
2012-07-04	VASATORPS GO/12-07-03	-120													
2012-07-04	VASATORPS GO/12-07-03	-549													
2012-07-04	ICA NARA HAM/12-07-03	-266													
2012-07-03	FISKHUSET I /12-07-02	-369													
2012-07-02	SPOTIFY VIPP/12-07-01	-99													
2012-07-02	MAT & GOLF I/12-07-01	-123													
2012-07-02	MAT & GOLF I/12-07-01	-390													
2012-07-02	HELSINGBAR  /12-07-01	-344													
2012-07-02	HELSINGBAR  /12-06-30	-232													
2012-07-02	BB TAXI     /12-07-01	-30													
2012-07-02	COOP KONSUM /12-06-30	-5													
2012-07-02	VASATORPS GO/12-06-29	-100													
2012-07-02	OLSONS SKAFF/12-06-28	-320													
2012-07-02	HELSINGBAR  /12-06-29	-348													
2012-07-02	BJ RN BORG C/12-06-29	-523													
2012-07-02	L06 SOLO  HE/12-06-29	-100													
2012-07-02	KRISTIANSTAD/12-06-28	-879													
2012-07-02	PERSTORPS GO/12-06-30	-110													
2012-07-02	PERSTORPS GO/12-06-30	-119													
2012-07-02	PERSTORPS GO/12-06-30	-280													
2012-07-02	TAXI HELSING/12-06-30	-108													
2012-07-02	AKADEMIBOKHA/12-06-29	-164													
2012-07-02	BRF LILLA TULLEN C/O UBC	-4523													
2012-07-02	55340002888	-18599													
2012-06-29	ÅHUS GOLFKRO/12-06-28	-45													
2012-06-29	PRESSBYRAN 5/12-06-28	-199													
2012-06-29	TOREKOV HOTE/12-06-26	-500													
2012-06-29	PERSTORP INV	4188													
2012-06-28	COM HEM AB	-107													
2012-06-27	SUNDSTA SÄTE/12-06-26	-499													
2012-06-27	BAASTAD KOMM/12-06-26	-20													
2012-06-27	TOREKOVS GOL/12-06-26	-350													
2012-06-27	TELE2 SVE AB	-169													
2012-06-26	008501233582	1500													
2012-06-25	LÖN	27110													
2012-06-19	PONTUS BY TH/12-06-16	-665													
2012-06-19	PONTUS BY TH/12-06-16	-158													
2012-06-19	TAXI KURIR  /12-06-15	-248													
2012-06-18	TAXI STOCKHO/12-06-16	-150													
2012-06-18	COOP KONSUM /12-06-16	-105													
2012-06-18	STUREBADETS /12-06-16	-230													
2012-06-18	STUREBADETS /12-06-16	-120													
2012-06-18	STUREBADETS /12-06-16	-120													
2012-06-18	FIRST CLEAR /12-06-15	-308													
2012-06-18	VAPIANO     /12-06-15	-411													
2012-06-18	STUREBADETS /12-06-15	-185													
2012-06-18	STUREBADETS /12-06-15	-180													
2012-06-14	FLYGPLATSAPO/12-06-12	-27													
2012-06-14	PERSTORP INV	2934													
2012-06-13	SATS REGERIN/12-06-12	-399													
2012-06-12	KAFFEMAKARN /12-06-11	-79													
2012-06-12	BRF LILLA TULLEN C/O UBC	-3600													
2012-06-11	TAXI HELSING/12-06-10	-78													
2012-06-11	BARA VARA I /12-06-09	-500													
2012-06-11	VIKTOR LINDE	4000													
2012-06-08	TEKNIKMAGASI/12-06-06	-23													
2012-06-08	COOP KONSUM /12-06-06	-124													
2012-06-07	INTERSPORT S/12-06-06	-100													
2012-06-07	PRESSBYRAN 8/12-06-06	-37													
2012-06-07	THAIBOAT    /12-06-06	-116													
2012-06-07	BAR- UTE- TH/12-06-06	-700													
2012-06-07	TANDL  NAKIS/12-06-05	-750													
2012-06-07	SATS MEDBORG/12-06-06	-40													
2012-06-07	COOP KONSUM /12-06-05	-79													
2012-06-07	HAR 3000 HOT/12-06-05	-345													
2012-06-05	SJ KUNDBOKNI/12-06-04	-275													
2012-06-05	SATS HÖTORGE/12-06-04	-40													
2012-06-04	SATS REGERIN/12-06-03	-25													
2012-06-01	SATS REGERIN/12-05-31	-20													
2012-05-31	SATS REGERIN/12-05-30	-40													
2012-05-30	COM HEM AB	-107													
2012-05-29	TAXI STOCKHO/12-05-27	-200													
2012-05-29	COOP KONSUM /12-05-27	-88													
2012-05-29	COOP KONSUM /12-05-27	-65													
2012-05-28	SPOTIFY VIPP/12-05-27	-99													
2012-05-28	RESTAURANG B/12-05-26	-770													
2012-05-28	COOP KONSUM /12-05-26	-43													
2012-05-28	55340002888	-10000													
2012-05-28	SHOPPING M.M	-6000													
2012-05-28	SCANDIC HOTE/12-05-25	-424													
2012-05-28	TEXAS LONGHO/12-05-25	-375													
2012-05-28	TELE2 SVE AB	-169													
2012-05-28	BRF LILLA TULLEN C/O UBC	-3317													
2012-05-28	AUT00-38	-2000													
2012-05-25	176400001 AP/12-05-24	-88													
2012-05-25	COOP KONSUM /12-05-23	-22													
2012-05-25	V.L	-1000													
2012-05-25	008501233582	1500													
2012-05-25	LÖN	26702													
2012-05-21	TAXI HELSING/12-05-20	-129													
2012-05-21	HAMNKROGEN  /12-05-19	-200													
2012-05-21	BB TAXI     /12-05-19	-141													
2012-05-21	GLASSTORGET /12-05-19	-65													
2012-05-21	SYSTEMBOLAGE/12-05-19	-82													
2012-05-21	TAXI HELSING/12-05-18	-136													
2012-05-21	MOGWAI      /12-05-18	-211													
2012-05-18	SCANDINAVIA /12-05-16	-1489													
2012-05-18	SATS MEDBORG/12-05-16	-40													
2012-05-18	AUT07:36	-600													
2012-05-16	SATS REGERIN/12-05-15	-40													
2012-05-15	COOP KONSUM /12-05-13	-36													
2012-05-14	CAJSA WARG  /12-05-13	-29													
2012-05-14	RESTAURANG E/12-05-12	-600													
2012-05-09	COOP KONSUM /12-05-06	-151													
2012-05-07	COOP KONSUM /12-05-04	-285													
2012-05-07	SYSTEMBOLAGE/12-05-05	-317													
2012-05-03	ICA BONDEN  /12-05-02	-25													
2012-05-03	HAR 3000 HOT/12-05-02	-345													
2012-05-03	COOP KONSUM /12-05-01	-32													
2012-05-02	PASCHA DELI /12-04-30	-95													
2012-05-02	7-ELEVEN 151/12-04-30	-15													
2012-05-02	ICA KVANTUM /12-04-30	-188													
2012-05-02	COOP KONSUM /12-04-29	-49													
2012-05-02	Suddenly Public	-89													
2012-05-02	Blir inte kategoriserad	-31000													
